issue_id,source_id,severity,category,table_or_scope,field_or_record,paper_evidence,data_observation,required_action
BQA-001,LIT_0C298FD36DDDBFF2,high,unsupported_default,reactor_process_gas,"pressure_original; pressure_kPa","全文未报告反应压力为常压","10 条工艺阶段均写为 atmospheric/101.325 kPa，且状态为 reported","清空该压力或标为未报告；禁止默认补常压"
BQA-002,LIT_0C298FD36DDDBFF2,low,false_precision,yield_quality,TGA_carbon_content_wt_percent,"10Mn0Fe 仅表述为 almost no carbon","数据写成精确 0 wt%","改为定性值或带检测限/近似标志"
BQA-003,LIT_29053831AED49C65,medium,figure_digitization,source_run,"phase-diagram boundary runs","部分条件只由相图区域/边界表达","图上条件被实体化为精确 reported run","标为 figure_digitized/approximate 并保存图号和读取不确定度"
BQA-004,LIT_29053831AED49C65,low,false_precision,reactor_process_gas,temperature_setpoint_C,"论文以 750 K 报告","成果换算为 476.85 °C","保留 750 K 原值；换算值标为 normalized，避免伪精度"
BQA-005,LIT_29053831AED49C65,low,cross_run_inheritance,yield_quality,"TEM/electron diffraction fields","论文为代表性样品表征","结构结论继承到全部成功 run","限制到明确样品或标为 series-level evidence"
BQA-006,LIT_70C62F9DC9DF53B4,high,cross_run_contamination,yield_quality,FCNT length_summary,"约 20 cm 仅属于 rear CNT fibre (RCNT)","FCNT 行也写入 rear fibre about 20 cm","从 FCNT 删除该长度，仅保留于 RCNT"
BQA-007,LIT_70C62F9DC9DF53B4,high,cross_run_contamination,catalyst_system,"activation_condition; post_preparation_condition","水活化属于 rear run，且催化剂是失活/回收颗粒","FCNT 继承水活化；RCNT 被写为 fresh catalyst","按 FCNT/RCNT 分离活化条件并将 RCNT 改为 deactivated/reclaimed catalyst"
BQA-008,LIT_70C62F9DC9DF53B4,high,unsupported_default,reactor_process_gas,"pressure_original; pressure_kPa","全文未明确报告常压","2 条记录写成 atmospheric/101.325 kPa","清空或标为未报告"
BQA-009,LIT_70C62F9DC9DF53B4,medium,field_semantics,reactor_process_gas,carbon_source_flow,"水为 rear run 共进料而非碳源主体流量","水流量被并入 carbon_source_flow","拆分为 water/cofeed flow 字段"
BQA-010,LIT_66DB00E917C24EAC,high,cross_sample_contamination,"catalyst_system; yield_quality","pCNT 与 commercial CNT 有不同尺寸和残余 Fe 信息","各样品行继承混合后的直径、长度和 residual Fe 描述","按样品来源重建尺寸、金属残留和形貌字段"
BQA-011,LIT_66DB00E917C24EAC,high,evidence_mismatch,evidence_index,all yield evidence,"详细尺寸、TGA、Raman 和形貌位于正文图表页","记录统一指向 CONCLUSIONS p10，不能支撑完整字段","给每组关键字段绑定实际页码、图号或表号"
BQA-012,LIT_66DB00E917C24EAC,medium,schema_mismatch,eight_tables,"catalyst_system; carbon_source; yield_quality","论文目标是 CNT/环氧复合材料性能","CNT 填料和机械性能被强行映射为催化剂、碳源和产率，定量值多埋在自由文本","使用复合材料独立 schema/track，机械性能结构化"
BQA-013,LIT_0B337E3E2AB8B340,critical,conflict_suppression,"yield_quality; evidence_index",shared 600C/45min/200sccm run,"同一名义条件在时间/温度系列给出 17.5 nm，在流量系列给出 13 nm；孔结构也有差异","去重后仅保留 17.5 nm，未记录冲突及系列来源","保留两个 series-specific observation 或记录冲突和来源表格"
BQA-014,LIT_0B337E3E2AB8B340,high,unsupported_default,reactor_process_gas,"pressure_original; pressure_kPa","全文未明确报告常压","9 条记录全部写为 atmospheric/101.325 kPa","清空或标为未报告"
BQA-015,LIT_0B337E3E2AB8B340,medium,evidence_status,"cost_scale_review; evidence_index","成本驱动、安全和排放属于审阅判断","相关值标为 reported；定位仅为 local_span","改为 reviewer_assessed，并补充可核查段落定位"
BQA-016,LIT_CA678F825E54BE45,critical,unit_violation,reactor_process_gas,temperature_setpoint_C,"论文以 K 报告基材 1000–1300 K，并指出 1050–1070 K 有利","摄氏字段中直接存字符串 1000-1300 K，且遗漏更具体结果区间","保存 K 原值并规范换算；单独记录 1050–1070 K 结果区间"
BQA-017,LIT_CA678F825E54BE45,critical,evidence_mismatch,evidence_index,yield/product evidence,"MWCNT、TEM/TGA/EDX 结果位于后文 Fig. 9–12/结果章节","证据指向 Fig. 7 装置附近文字，不能支撑产品结果","重新绑定结果章节和对应图表证据"
BQA-018,LIT_CA678F825E54BE45,medium,run_linkage,reactor_process_gas,"ethylene_flow; hydrogen_flow","1000/3000 sccm 被表述为 commonly used simulation/recipe","成果将其绑定为唯一精确实验 run","若无明确样品关联则标为 representative recipe，不作为精确 run 条件"
BQA-019,LIT_308D1442E521B6DD,high,unsupported_default,reactor_process_gas,"pressure_original; pressure_kPa","全文未报告反应为常压","记录写为 atmospheric/101.325 kPa","清空或标为未报告"
BQA-020,LIT_436402DA7A57D194,high,unsupported_default,reactor_process_gas,"pressure_original; pressure_kPa","50 Torr 只属于催化剂制备；CNT 生长压力未报告","9 条 CNT 生长记录统一写为 atmospheric/101.325 kPa","删除生长压力默认值，不得混用催化剂制备压力"
BQA-021,LIT_436402DA7A57D194,medium,internal_inconsistency,"reactor_process_gas; cost_scale_review",scale_level,"论文包含 2.5 cm 小试及 5.3/16 cm 放大装置","工艺表全部为 lab_batch，成本表却分为 bench/pilot","统一 reactor/run 级 scale_level"
BQA-022,LIT_436402DA7A57D194,medium,evidence_status,yield_quality,CNT_productivity_g_gcat_h,"生产率由 X 和反应时间计算；5.3 cm 的 X=2.02 也由 40.4/20 计算","计算值仍标为 reported","改为 calculated 并保存公式、输入和舍入规则"
BQA-023,LIT_BD24584C41DAE4DD,medium,approximation_loss,reactor_process_gas,pressure_kPa,"论文报告约 150 mbar","成果写为无近似标志的 15 kPa","保留 ~150 mbar 原值，换算值标为 approximate/normalized"
BQA-024,LIT_BD24584C41DAE4DD,medium,missing_value,yield_quality,diameter,"论文给出 γ-Fe 示例平均 26 nm、SD 11 nm、范围 9–50 nm","直径字段为空","补录并限定为对应示例/组，不扩散到全部重复实验"
BQA-025,LIT_BD24584C41DAE4DD,medium,evidence_mismatch,evidence_index,group morphology,"组级形貌、竹节结构和产物结论分布在正文结果中","主要仅以摘要证据支撑完整记录","补充正文页/图的组级证据，并明确 Al2O3/SiO2 支撑体边界"
BQA-026,LIT_87B8240D8CDFE77C,critical,failure_success_reversal,"source_run; yield_quality",methane run,"论文说明 methane 在该体系中未形成 forest","失败 run 却继承 single-wall forest、vertically aligned forest、直径和密度等成功字段","清空成功产物字段，显式标记 no forest/failed campaign"
BQA-027,LIT_87B8240D8CDFE77C,critical,missing_experiment,source_run,p-xylene campaign,"论文 Fig. 1、Table 2、Raman/TEM 均包含 p-xylene 成功实验","成果完全漏掉 p-xylene","补建 p-xylene run 及产率 0.76 mg/cm2、高度 163 um、G/D 5.7、密度 0.046 g/cm3"
BQA-028,LIT_87B8240D8CDFE77C,high,information_loss,yield_quality,eight successful feedstocks,"Table 2 给出逐碳源 yield/height/G-D/density/diameter","8 个成功 run 仅保留全局范围，精确值未结构化","逐行录入 Table 2 数值和缺失标记，保留 feedstock-specific provenance"
BQA-029,LIT_87B8240D8CDFE77C,high,unsupported_default,reactor_process_gas,"pressure_original; pressure_kPa","论文未明确报告常压","9 条记录写为 atmospheric/101.325 kPa","清空或标为未报告"
